,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פועלים הנ אגח 33- הפועלים הנפקות בע""מ",1940568,TASE,אחר,194,בנקים,AAA,מעלות,16/09/14,2.42,שקל חדש,1.60,0.00,"3,757,473.00",102.09,"3,836.00",0.12,0.26,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פועלים הנפ אגח 32- הפועלים הנפקות בע""מ",1940535,TASE,אחר,194,בנקים,AAA,מעלות,10/08/11,4.81,שקל חדש,5.00,0.01,"65,879,985.00",124.44,"81,981.05",2.09,5.61,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פועלים הנפקות 31- הפועלים הנפקות בע""מ",1940527,TASE,אחר,194,בנקים,AAA,מעלות,10/08/11,0.85,שקל חדש,4.50,0.00,"5,321,201.40",106.16,"5,648.99",1.65,0.39,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פועלים הנפקות סדרה 34- הפועלים הנפקות בע""מ",1940576,TASE,אחר,194,בנקים,AAA,מעלות,26/03/15,3.45,שקל חדש,0.70,0.01,"32,206,674.16",100.71,"32,435.34",0.75,2.22,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"בינל הנפק ש""ה אגח ג- הבינלאומי הראשון הנפקות בע""מ",1093681,TASE,אחר,1153,בנקים,AA+,מעלות,14/09/08,0.82,שקל חדש,4.20,0.01,"1,967,320.29",128.36,"2,525.25",1.91,0.17,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"לאומי התח נד  ח- בנק לאומי לישראל בע""מ",6040232,TASE,אחר,604,בנקים,AA+,מעלות,12/07/16,0.60,שקל חדש,4.40,0.00,"724,173.50",121.55,880.23,0.11,0.06,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"לאומי התח נד יב- בנק לאומי לישראל בע""מ",6040273,TASE,אחר,604,בנקים,AA+,מעלות,20/10/16,0.45,שקל חדש,2.60,0.00,"16,310,797.00",108.56,"17,707.00",0.50,1.21,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מזרחי טפחות הנפקות הת 30- מזרחי טפחות חברה להנפקות בע""מ",2310068,TASE,אחר,231,בנקים,AA+,מעלות,22/02/17,0.16,שקל חדש,3.90,0.00,"2,004,756.00",123.44,"2,474.67",0.14,0.17,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"עזריאלי אגח ג- קבוצת עזריאלי בע""מ (לשעבר קנית מימון)",1136324,TASE,אחר,1420,"נדל""ן ובינוי",AA+,מעלות,06/09/15,5.47,שקל חדש,1.64,0.01,"8,477,876.00",101.50,"8,605.04",0.84,0.59,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"עזריאלי אגח ד- קבוצת עזריאלי בע""מ (לשעבר קנית מימון)",1138650,TASE,אחר,1420,"נדל""ן ובינוי",Aa1,מידרוג,07/07/16,6.79,שקל חדש,1.34,0.02,"42,587,977.00",97.38,"41,472.17",1.94,2.84,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
