,תאריך הדיווח,30/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,303יל השתלמות כללי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001038-1162-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.ה. פקדונות מעל 3 חודשים:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",מספר מנפיק,דירוג,שם מדרג,"מח""מ",סוג מטבע,תנאי ושיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פקדון זק 300417 0.21%- בנק לאומי לישראל בע""מ",29992520,10,AAA,מעלות,0.08,שקל חדש,0.21,0.12,"40,000,000.00",100.06,"40,024.00",6.99,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פקדון זק מז 01062017_0.24%- בנק מזרחי טפחות בע""מ",29992529,20,AAA,מעלות,0.17,שקל חדש,0.24,0.11,"90,000,000.00",100.06,"90,054.00",15.72,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פקדון זק מז 05062017_0.24%- בנק מזרחי טפחות בע""מ",29992530,20,AAA,מעלות,0.18,שקל חדש,0.24,0.10,"25,751,695.00",100.06,"25,767.15",4.50,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פקדון זק מז 09062017_0.24%- בנק מזרחי טפחות בע""מ",29992532,20,AAA,מעלות,0.19,שקל חדש,0.24,0.25,"20,341,729.00",100.03,"20,347.83",3.55,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פקדון שקלי בלאומי_0.23%_ 060617- בנק לאומי לישראל בע""מ",10-29992526,10,AAA,מעלות,0.19,שקל חדש,0.23,0.18,"88,000,000.00",100.05,"88,044.00",15.37,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ נקוב במט""ח",,,,,-3.56,,,-8.29,"-4,547,500.00",,"-16,169.44",-2.82,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ביטחונות CSA במטבע 20001 (OTC)- בנק לאומי לישראל בע""מ",77720001,10,AAA,מעלות,0.01,דולר אמריקאי,0.00,0.01,"-25,660,000.00",100.00,"-92,760.90",-16.19,-0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פקדון דולרי 1.76% _190318 _פ- בנק הפועלים בע""מ",12-29992543,12,AAA,מעלות,0.97,דולר אמריקאי,1.76,1.76,"15,580,500.00",100.06,"56,357.30",9.84,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פקדון דולרי 80617_1.55%- בנק לאומי לישראל בע""מ",10-29992459,10,AAA,מעלות,0.19,דולר אמריקאי,1.55,1.77,"5,532,000.00",101.18,"20,234.16",3.53,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ צמודי מט""ח",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ אחר",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ בחו""ל",,,,,1.00,,,0.01,"-8,149,709.00",,"-29,461.20",-5.14,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTM - irx Barclays_פקדון בטחונות- BARCLAYS BANK,89998010,10,A-,S&P,1.00,דולר אמריקאי,0.00,0.01,"-8,149,709.00",100.00,"-29,461.20",-5.14,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
