,תאריך הדיווח,30/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,303יל השתלמות כללי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001038-1162-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"דלק קבוצה- קבוצת דלק בע""מ",1084128,TASE,אחר,1095,השקעות ואחזקות,שקל חדש,"33,964.00","87,000.00","29,548.68",0.28,1.50,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,אבנר יהש- אבנר חיפושי נפט וגז - שותפות מוגבלת,268011,TASE,אחר,268,חיפושי נפט וגז,שקל חדש,"2,123,944.00",246.00,"5,224.90",0.06,0.27,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"בזן- בתי זקוק לנפט בע""מ",2590248,TASE,אחר,259,חיפושי נפט וגז,שקל חדש,"17,504,788.00",143.40,"25,101.87",0.55,1.28,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,דלק קדוחים יהש- דלק קידוחים - שותפות מוגבלת,475020,TASE,אחר,475,חיפושי נפט וגז,שקל חדש,"885,461.00","1,319.00","11,679.23",0.16,0.59,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ישראמקו יהש- ישראמקו נגב 2 שותפות מוגבלת,232017,TASE,אחר,232,חיפושי נפט וגז,שקל חדש,"88,390,542.00",63.40,"56,039.60",0.68,2.85,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פז נפט- פז חברת הנפט בע""מ",1100007,TASE,אחר,1363,חיפושי נפט וגז,שקל חדש,"137,271.00","60,000.00","82,362.60",1.35,4.19,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"כיל- כימיקלים לישראל בע""מ",281014,TASE,אחר,281,"כימיה, גומי ופלסטיק",שקל חדש,"1,029,722.00","1,540.00","15,857.72",0.08,0.81,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"טאואר- טאואר סמיקונדקטור בע""מ",1082379,TASE,אחר,2028,מוליכים למחצה,שקל חדש,"11,371.00","8,381.00",953.00,0.01,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פרוטרום- פרוטרום תעשיות בע""מ",1081082,TASE,אחר,1037,מזון,שקל חדש,"118,861.00","20,250.00","24,069.35",0.20,1.23,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"שטראוס- שטראוס גרופ בע""מ",746016,TASE,אחר,746,מזון,שקל חדש,"805,618.00","6,195.00","49,908.04",0.75,2.54,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
